Date;Open;High;Low;Close
2019.09.24;15071.00;15112.36;14964.39;15024.64
2019.09.23;14905.28;15151.94;14897.55;15044.91
2019.09.20;13938.89;14739.13;13876.25;14643.08
2019.09.19;14095.24;14095.24;13860.19;13900.71
2019.09.18;14090.88;14126.90;14022.19;14078.06
2019.09.17;14297.67;14297.67;14017.20;14038.13
2019.09.16;14293.92;14343.01;14241.45;14283.54
2019.09.13;14270.83;14359.56;14187.72;14351.45
2019.09.12;14313.42;14366.24;14224.87;14240.32
2019.09.11;14251.55;14308.05;14238.02;14288.49
2019.09.09;14140.75;14244.25;14081.64;14220.34
2019.09.06;14059.89;14148.02;14043.61;14137.04
2019.09.05;14041.26;14099.80;13993.61;14022.67
2019.09.04;13964.57;14016.83;13875.51;14002.77
2019.09.03;14185.46;14185.46;13923.98;13955.84
2019.08.30;14174.05;14256.44;14050.46;14234.07
2019.08.29;14203.07;14203.07;14072.32;14122.10
2019.08.28;14311.87;14337.08;14158.01;14219.71
2019.08.27;14267.20;14338.53;14223.10;14302.54
2019.08.26;14170.53;14221.89;13851.23;14209.07
2019.08.23;13799.06;13968.25;13678.41;13932.86
2019.08.22;14057.93;14057.93;13802.74;13821.18
2019.08.21;14190.07;14207.11;14043.30;14052.31
2019.08.20;14268.19;14278.31;14152.08;14193.91
2019.08.19;14286.26;14354.61;14235.25;14252.70
2019.08.16;14226.26;14253.24;14078.85;14235.18
2019.08.14;14172.33;14255.03;14100.22;14211.79
2019.08.13;14382.98;14382.98;14060.26;14083.35
2019.08.09;14295.13;14424.42;14275.79;14334.42
2019.08.08;14069.37;14256.96;14016.20;14230.48
2019.08.07;14144.50;14183.70;14004.11;14028.89
2019.08.06;13946.64;14195.70;13936.63;14128.20
2019.08.05;14088.39;14088.39;13891.20;13993.11
2019.08.02;14119.98;14264.61;13974.43;14165.40
2019.08.01;14296.83;14296.83;14033.98;14152.74
2019.07.31;14224.59;14345.92;14144.39;14324.12
2019.07.30;14441.59;14513.49;14246.66;14260.40
